[06-Mar-2026 09:59:33] NOTICE: fpm is running, pid 19
[06-Mar-2026 09:59:33] NOTICE: ready to handle connections
127.0.0.1 -  06/Mar/2026:12:49:47 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:49:48 +0000 "POST /index.php" 200
127.0.0.1 -  06/Mar/2026:12:49:48 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:49:48 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:49:48 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:49:48 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:49:48 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:49:48 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:49:48 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:49:48 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:49:52 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:49:52 +0000 "GET /index.php" 200
[06-Mar-2026 12:50:22] NOTICE: Terminating ...
[06-Mar-2026 12:50:22] NOTICE: exiting, bye-bye!
[06-Mar-2026 12:50:37] NOTICE: fpm is running, pid 19
[06-Mar-2026 12:50:37] NOTICE: ready to handle connections
127.0.0.1 -  06/Mar/2026:12:50:46 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:50:47 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:50:47 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:50:47 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:50:47 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:50:47 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:50:47 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:50:47 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:50:47 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:50:47 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:50:47 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:50:47 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:50:47 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:50:47 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:50:47 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:50:47 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:50:48 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:51:08 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:51:08 +0000 "POST /index.php" 200
127.0.0.1 -  06/Mar/2026:12:51:12 +0000 "POST /index.php" 200
127.0.0.1 -  06/Mar/2026:12:51:14 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:51:14 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:51:14 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:51:14 +0000 "GET /index.php" 200
